file_name,year,doi,dominant_topic,dominant_topic_prob
Acosta-Rodriguez-2024-10.31083_j.jin2312217.txt,2024,10.31083/j.jin2312217,7,0.4274987
Acosta-Rodriguez-2025-10.3174_ajnr.A8774.txt,2025,10.3174/ajnr.A8774,5,0.33124256
Adams-2024-10.1016_j.bpsc.2024.03.006.txt,2024,10.1016/j.bpsc.2024.03.006,7,0.2950696
Adams-2024-10.1016_j.dadr.2024.100271.txt,2024,10.1016/j.dadr.2024.100271,4,0.7187408
Adeli-2020-10.1016_j.neuroimage.2020.117293.txt,2020,10.1016/j.neuroimage.2020.117293,6,0.30784112
Adise-2021-10.1016_j.dcn.2021.100948.txt,2021,10.1016/j.dcn.2021.100948,3,0.34026438
Adise-2022-10.3389_fpubh.2022.1061049.txt,2022,10.3389/fpubh.2022.1061049,12,0.36452606
Adise-2023-10.1002_oby.23811.txt,2023,10.1002/oby.23811,3,0.5079438
Adise-2023-10.1037_hea0001250.txt,2023,10.1037/hea0001250,3,0.41394356
Adise-2023-10.1111_ijpo.12985.txt,2023,10.1111/ijpo.12985,3,0.46772566
Adise-2024-10.1001_jamanetworkopen.2024.20466.txt,2024,10.1001/jamanetworkopen.2024.20466,2,0.54832566
Adise-2024-10.1002_oby.24028.txt,2024,10.1002/oby.24028,3,0.4818626
Adise-2024-10.1016_j.appet.2023.107081.txt,2024,10.1016/j.appet.2023.107081,3,0.45266414
Adise-2024-10.1038_s41390-024-03288-z.txt,2024,10.1038/s41390-024-03288-z,14,0.3198427
Agarwal-2022-10.3390_nu14214643.txt,2022,10.3390/nu14214643,3,0.34898463
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.txt,2023,10.1016/j.jadohealth.2023.08.033,11,0.22101803
Agcaoglu-2022-10.1016_j.jneumeth.2022.109537.txt,2022,10.1016/j.jneumeth.2022.109537,7,0.55916876
Aguinaldo-2021-10.1016_j.psychres.2021.113825.txt,2021,10.1016/j.psychres.2021.113825,4,0.69014883
Aguinaldo-2022-10.3390_brainsci12070935.txt,2022,10.3390/brainsci12070935,4,0.28974915
Ahern-2023-10.1007_s10519-023-10139-w.txt,2023,10.1007/s10519-023-10139-w,10,0.6761959
Ahmed-2023-10.1080_09297049.2022.2103105.txt,2023,10.1080/09297049.2022.2103105,1,0.45316845
Ahmed-2023-10.1080_21622965.2023.2206029.txt,2023,10.1080/21622965.2023.2206029,1,0.4481425
Ahn-2024-10.1177_01939459241273361.txt,2024,10.1177/01939459241273361,3,0.51772535
Akhlaghipour-2020-10.3390_brainsci10120950.txt,2020,10.3390/brainsci10120950,2,0.31033733
Aks-2025-10.1016_j.ntt.2025.107433.txt,2025,10.1016/j.ntt.2025.107433,1,0.63022786
Al-Shoaibi-2024-10.1002_eat.24169.txt,2024,10.1002/eat.24169,3,0.35538566
Al-Shoaibi-2024-10.1016_j.acap.2023.10.004.txt,2024,10.1016/j.acap.2023.10.004,0,0.41520932
Al-Shoaibi-2024-10.1016_j.appet.2024.107419.txt,2024,10.1016/j.appet.2024.107419,3,0.74238837
Al-Shoaibi-2024-10.1111_apa.17349.txt,2024,10.1111/apa.17349,14,0.6761173
Al-shoaibi-2024-10.1016_j.ajpc.2024.100883.txt,2024,10.1016/j.ajpc.2024.100883,1,0.38031015
Albar-2022-10.3390_brainsci12101319.txt,2022,10.3390/brainsci12101319,7,0.38763562
Albertina-2024-10.1016_j.bpsc.2022.04.001.txt,2024,10.1016/j.bpsc.2022.04.001,7,0.57378495
Alexander-2024-10.1038_s41598-024-68467-8.txt,2024,10.1038/s41598-024-68467-8,14,0.70530623
Alexandra-2025-10.1016_j.drugalcdep.2025.11255.txt,2025,10.1016/j.drugalcdep.2025.11255,1,0.20780736
Allen-2022-10.3390_ijerph19159447.txt,2022,10.3390/ijerph19159447,12,0.34921178
Aln‘s-2020-10.1073_pnas.2001517117.txt,2020,10.1073/pnas.2001517117,12,0.2736601
Ang-2020-10.1093_brain_awaa314.txt,2020,10.1093/brain/awaa314,0,0.322623
Anokhin-2022-10.1016_j.dcn.2022.101078.txt,2022,10.1016/j.dcn.2022.101078,2,0.38316762
Archer-2024-10.1038_s41386-024-01966-4.txt,2024,10.1038/s41386-024-01966-4,7,0.44939905
Argabright-2022-10.1016_j.jaac.2021.08.011.txt,2022,10.1016/j.jaac.2021.08.011,8,0.59422946
Argabright-2022-10.1016_j.lana.2022.100391.txt,2022,10.1016/j.lana.2022.100391,8,0.50041157
Argabright-2022-10.1016_j.psyneuen.2022.105727.txt,2022,10.1016/j.psyneuen.2022.105727,8,0.4607258
Arnatkeviciute-2023-10.1038_s41380-023-02187-9.txt,2023,10.1038/s41380-023-02187-9,10,0.496501
Arnon-2022-10.1001_jamanetworkopen.2022.18746.txt,2022,10.1001/jamanetworkopen.2022.18746,2,0.26965564
Assari-2020-10.32598_cjns.6.22.2.txt,2020,10.32598/cjns.6.22.2,8,0.29938135
Assari-2020-10.3390_brainsci10050312.txt,2020,10.3390/brainsci10050312,2,0.3954846
Assari-2020-10.3390_brainsci10060391.txt,2020,10.3390/brainsci10060391,2,0.24822514
Assari-2020-10.3390_brainsci10080520.txt,2020,10.3390/brainsci10080520,12,0.2611565
