topic_id,term,weight,num_publications_in_topic
0,externalize,0.033638667,134
0,ace,0.013663918,134
0,dimension,0.01212886,134
0,rule,0.010172551,134
0,odd,0.00744216,134
0,depressive,0.0071633672,134
0,depressed,0.0069019613,134
0,trauma,0.006185382,134
0,diagnostic,0.0057855505,134
0,creative,0.0056609306,134
0,checklist,0.0053823614,134
0,dsm,0.0052835033,134
0,applicable,0.005247556,134
0,mood,0.0050169625,134
0,govern,0.0048792227,134
0,informant,0.0045739375,134
0,comorbidity,0.004294228,134
0,affective,0.004264547,134
0,subtype,0.004084742,134
0,somatic,0.003804508,134
0,event,0.003682275,134
0,break,0.0036760592,134
0,lifetime,0.0036306644,134
0,thought,0.0035876671,134
0,anxious,0.0034888687,134
0,compulsive,0.0033967346,134
0,externalizing,0.003317333,134
0,syndrome,0.0032678382,134
0,severe,0.003206753,134
0,withdraw,0.0031638294,134
1,cannabis,0.0544705,54
1,prenatal,0.04474904,54
1,pregnancy,0.033027295,54
1,alcohol,0.03197671,54
1,maternal,0.030972715,54
1,drug,0.028488297,54
1,caffeine,0.028431041,54
1,tobacco,0.026236696,54
1,hair,0.020272518,54
1,preterm,0.016239911,54
1,nicotine,0.013456226,54
1,mother,0.013230452,54
1,offspring,0.011123533,54
1,gestational,0.010740381,54
1,blood,0.010033247,54
1,expose,0.009459238,54
1,cigarette,0.008768168,54
1,intake,0.007831318,54
1,fetal,0.007810602,54
1,consumption,0.007474979,54
1,perinatal,0.0070355632,54
1,smoking,0.006990935,54
1,breastfeed,0.006754241,54
1,product,0.0067518423,54
1,smoke,0.006148101,54
1,initiation,0.005776078,54
1,medical,0.0057382365,54
1,complication,0.0056210957,54
1,pressure,0.0048612803,54
1,cannabinoid,0.0047924737,54
2,intelligence,0.037452765,92
2,language,0.026472328,92
2,executive,0.021967724,92
2,fluid,0.021349456,92
2,composite,0.01713308,92
2,read,0.014953385,92
2,neurocognitive,0.013610116,92
2,vocabulary,0.013441012,92
2,reading,0.013401645,92
2,flanker,0.011654322,92
2,speed,0.011484965,92
2,skill,0.011166387,92
2,crystallized,0.010484215,92
2,bilingual,0.010159142,92
2,sort,0.010146654,92
2,battery,0.009328641,92
2,flexibility,0.007310698,92
2,crystallize,0.006432744,92
2,oral,0.006049948,92
2,episodic,0.005724483,92
2,english,0.0055746706,92
2,neurocognition,0.005565927,92
2,word,0.005349608,92
2,verbal,0.005312704,92
2,inhibitory,0.0052431305,92
2,academic,0.0050156605,92
2,educational,0.0048783757,92
2,card,0.004861813,92
2,reasoning,0.0044401377,92
2,recognition,0.00416557,92
3,eat,0.071647465,65
3,pain,0.067856915,65
3,obesity,0.04799761,65
3,bmi,0.034491878,65
3,binge,0.030349234,65
3,food,0.016835898,65
3,pollution,0.012745136,65
3,air,0.012504104,65
3,overweight,0.01200667,65
3,diet,0.009812896,65
3,chronic,0.009556157,65
3,gain,0.008656834,65
3,height,0.007857779,65
3,intake,0.0074735824,65
3,percentile,0.0066995188,65
3,waist,0.0059284708,65
3,fat,0.005790453,65
3,mass,0.0057654115,65
3,energy,0.0056794495,65
3,adiposity,0.005557971,65
3,dietary,0.0055051004,65
3,obese,0.0049870578,65
3,obe,0.0048512127,65
3,nutrition,0.0046326756,65
3,inflammation,0.0043423073,65
3,eating,0.0041233744,65
3,pollutant,0.0036098321,65
3,particulate,0.0032704063,65
3,soda,0.0030969763,65
3,caregiver,0.0030899786,65
4,alcohol,0.079914704,68
4,suicide,0.036752533,68
4,impulsivity,0.03610757,68
4,suicidal,0.030754328,68
4,sip,0.024877982,68
4,attempt,0.018107165,68
4,urgency,0.017452722,68
4,seek,0.01726173,68
4,ideation,0.01670059,68
4,sensation,0.015393819,68
4,discount,0.014026839,68
4,delay,0.01274147,68
4,suicidality,0.011649264,68
4,drug,0.0108008785,68
4,peer,0.010187814,68
4,lifetime,0.0100160185,68
4,thought,0.009129795,68
4,drink,0.008319003,68
4,initiation,0.00818781,68
4,personality,0.0080650365,68
4,upps,0.008037765,68
4,impulsive,0.007271034,68
4,religious,0.006926411,68
4,expectancy,0.0066603227,68
4,drinking,0.00610739,68
4,perseverance,0.00609059,68
4,odd,0.005572749,68
4,experimentation,0.005221413,68
4,dependence,0.0051585534,68
4,curiosity,0.004997376,68
5,adhd,0.17759502,31
5,diffusion,0.043326803,31
5,tract,0.03665637,31
